Background_Color,Text_Color,Contrast_Ratio
#BB06A3,#E7B26F,2.88
#B03FF3,#2E2D87,1.75
#DCA561,#3CD6E3,1.06
#284A00,#EE8ED2,2.43
#F348EA,#9E982E,1.19
#38E1D3,#F139DE,1.66
#00538A,#2B0518,3.02
#64BC21,#338B54,1.32
#1F2722,#C05424,2.34
#DF40C3,#2EE542,1.59
#9BF053,#631A51,3.83
#F3B3D6,#8E3E41,2.26
#EDE7C6,#8659AA,2.07
#9EFF0B,#A2D20F,1.16
#141B6D,#72D2C6,4.56
#2D5481,#ADE4EA,2.5
#52961C,#AB037F,2.31
#36E23B,#270059,6.92
#EDE4A3,#B1F1E6,1.01
#CC7C0E,#229857,1.08
#7D6522,#F78950,1.48
#4AF539,#459954,1.45
#881861,#E19D5F,2.73
#95DDA9,#5A0DA0,4.07
#EF0200,#13B9C3,2.51
#8767F5,#C1CA56,1.54
#BE5BCC,#5C052C,3.4
#DF59BA,#3A5B90,1.36
#DB9870,#1EF5D8,1.19
#03C1F4,#2D1754,3.77
#F97209,#C66ECB,1.0
#D6D3D8,#383F12,3.16
#C79252,#FF04A9,2.02
#6D2F03,#91FAA2,3.36
#AE9BF1,#2C4567,2.26
#AA2402,#AF0656,1.24
#89621B,#1FBC54,1.4
#59ADCF,#D258A1,1.29
#EA7582,#508602,1.24
#58DD1D,#B13024,2.19
#6BAC1C,#3D601F,1.66
#8D6C2B,#DDC609,1.64
#40E97B,#93F123,1.08
#30001D,#4723FF,2.85
#23AA3B,#DCA8B4,1.32
#6C99C0,#0B82BA,1.31
#06B6F2,#B3ED4E,1.4
#E6F026,#00ECE3,1.19
#EE3D93,#445063,1.28
#EFB0C1,#5E026A,4.86
#D06B04,#16946C,1.02
#5F715D,#CCFCF7,2.11
#61F0BF,#B1FDB3,1.12
#49DD4C,#69E30E,1.03
#C8727D,#A153D9,1.2
#FC36CA,#D3BDD7,1.74
#2D4A77,#BCF13D,2.74
#40539F,#ABAD6E,1.86
#F88E37,#E680E7,1.01
#93FE79,#F913B3,2.54
#48EC3F,#0F8B35,1.69
#C11536,#0EA809,1.88
#513FF9,#82393C,1.09
#353163,#02ED17,2.78
#14BDCD,#AA7CAD,1.11
#88F1EC,#B5E2CD,1.01
#667755,#392EED,1.68
#662935,#500670,1.6
#FA501B,#F41CF4,1.22
#984A7F,#2F49CE,1.19
#91F7EE,#11EDCF,1.18
#7C7B76,#61C4BD,1.38
#008D6E,#D68B43,1.34
#B48A16,#78CF10,1.24
#5FC25B,#F3203C,1.95
#04328C,#855D6D,1.94
#D43440,#097210,1.02
#6081C6,#FFCA40,1.55
#AB1592,#76CF1D,2.52
#0CDB30,#6FA15E,1.11
#4DAF6B,#2343D2,1.95
#5E014C,#0DD494,4.57
#3FBBC7,#BE3856,1.75
#EB80B3,#DE68B6,1.13
#C6C672,#2522CC,3.43
#7CA2AB,#D9E379,1.37
#52F7B7,#E59A79,1.22
#3534CF,#020B11,3.42
#622EF7,#4E48EF,1.16
#48FAD4,#28D738,1.24
#61F910,#CDE989,1.1
#8A038B,#97EB44,4.01
#18B349,#8D4C9D,1.39
#E597D5,#F5B599,1.11
#D593AF,#C5129B,2.23
#07A42D,#521A64,2.41
#47A095,#D9632C,1.15
#E77860,#1C08C4,4.01
#6F94E6,#AB7C97,1.07
#8473FD,#78AB3A,1.17
#99D2D1,#305C29,2.3
#7AE2C3,#144E41,2.77
#9CA849,#6ECBAA,1.13
#E1F5AE,#1B6872,2.46
#C591C3,#524B30,1.98
#F327D1,#3CE8CA,1.92
#93982A,#5BD1EF,1.28
#4A0EA8,#C1F580,4.71
#CD7BD3,#5DB5EA,1.12
#3BBB45,#E774BC,1.04
#AC0B63,#A3A2CA,2.76
#79092B,#4E27D9,1.52
#A13E0C,#FF9A40,1.97
#338BF9,#B24512,1.39
#05089C,#726877,3.9
#132B58,#A41FEA,1.61
#366E81,#43D276,1.65
#CA998C,#9A3E45,1.85
#029993,#E45A6C,1.0
#234310,#B2558D,1.76
#5FD5FE,#768D84,1.37
#D5F2C1,#82E241,1.19
#8778F1,#B21ACB,1.73
#79CC2E,#03E370,1.02
#75A117,#446FF0,1.25
#CA3677,#B29AFC,1.74
#12E99F,#DE428D,1.66
#0F96BC,#8193D2,1.17
#A36D7A,#64CAAB,1.42
#E86F16,#3BA896,1.09
#E0B1A8,#753291,2.37
#C80693,#358BCF,1.97
#FB33F5,#EB5E13,1.09
#0014AC,#CD988F,4.44
#94F542,#EA856C,1.36
#0D3197,#BA28E0,1.58
#DC1D47,#B1EBA5,2.7
#364052,#F35BF1,1.93
#B1B462,#A12F6F,2.1
#E48315,#376631,1.55
#0906CA,#7A9AEC,4.95
#B76B15,#FAECD0,1.93
#E7BCCE,#0A8126,1.92
#6E391F,#45F10C,2.54
#6243C7,#458546,1.33
#AB2411,#674681,1.24
#6A8F7B,#0F0FED,3.35
#9C0C05,#12EE60,3.53
#C5B648,#F3A9A0,1.04
#C59C72,#02E92C,1.05
#D235A8,#CF5CA9,1.25
#63D618,#F5840B,1.18
#54835C,#6BA2BA,1.26
#B95D8E,#54E44D,1.55
#8FD062,#93C8E7,1.02
#4D2328,#151680,1.35
#764E46,#3F19E3,1.63
#8C22AE,#8AC156,2.35
#BAD25C,#06284A,4.36
#84DC7C,#119B7F,1.52
#AAD51C,#E2896B,1.22
#776843,#7D44F4,1.11
#2B3263,#3546CA,1.37
#8AD1B0,#D3B7E1,1.0
#433AB3,#513263,1.12
#596CC8,#9647C8,1.12
#C79A97,#050D45,6.27
#0825A6,#0BC26B,3.05
#117C4F,#B971C0,1.33
#ED4325,#DF6BB0,1.31
#8882FA,#EAF3F8,1.66
#F6ABEA,#6064D4,1.7
#9C793F,#CC7CFC,1.19
#36046C,#641A90,1.81
#F01793,#A07D9D,1.62
#FDB700,#4B92A7,1.36
#961A78,#B410AC,1.04
#4CCA3A,#400BFC,3.39
#7C648A,#04953E,1.03
#3E1651,#EEB040,4.08
#00017E,#AC2948,3.72
#B85B43,#A8D820,1.69
#6B9647,#32C661,1.16
#A86D5D,#D21E51,1.57
#481796,#DC7F11,2.74
#59B6F2,#2D6418,1.88
#CBF31E,#697A3E,1.83
#E57B75,#ECB4B7,1.3
#2C0723,#2DB67B,5.44
#E69A45,#7EBE0E,1.0
#B5D177,#F7AC2F,1.09
#20C070,#052467,3.51
#0FC1D1,#323954,2.41
#C11F21,#98D43D,2.57
#AFC4B5,#4D97F7,1.31
#1F6426,#8FB27A,1.92
#242CAD,#9A8D4D,2.36
#DD0882,#F8CC99,2.97
#AC8D99,#BCF195,1.46
#DD3E93,#51509D,1.16
#9841EC,#578319,1.17
#DA0AA7,#917C14,1.71
#850321,#EC570A,2.76
#E368AE,#CEABFB,1.33
#1CB7CB,#EFF44D,1.48
#E324E0,#D51563,1.28
#BF438E,#A4172C,1.66
#7F4C55,#F83A54,1.13
#3159EB,#74F91C,2.1
#555A01,#D1DBF2,2.43
#AB5246,#D921BE,1.17
#D55F3B,#BC6FC4,1.12
#ECE085,#829321,1.57
#BEC872,#8D70DF,1.47
#29CCFA,#773882,2.12
#8C74AF,#A2466A,1.32
#CD1DFA,#8FD99F,2.21
#C9A2F0,#FDA09A,1.02
#7DB996,#09D0A2,1.04
#83272B,#B23E67,1.43
#BD11FB,#BACC45,2.44
#4C8FB8,#B8634C,1.13
#E1F9DF,#46A0B6,1.64
#39CB24,#1ACF87,1.02
#C8937F,#896269,1.42
#3C693D,#0673E0,1.07
#AF0A3F,#60A1A0,2.59
#AAC5D6,#BEC5EE,1.03
#80C3FA,#DA97A6,1.1
#A91009,#8F7BEA,2.44
#303E44,#FBFD41,3.49
#3256FF,#DCE421,2.18
#CAA2D9,#72AF88,1.09
#5229B9,#606E41,1.6
#E905E6,#4DEA17,2.4
#A0A27E,#EFAEDF,1.19
#916B70,#AFDF9D,1.72
#38FE04,#9C7AD8,1.39
#6F4BA1,#B45138,1.11
#85C20A,#782B92,2.27
#C30C8A,#8B308E,1.19
#56AC94,#9B1525,2.6
#0AAAE4,#1BAD41,1.04
#8671AA,#88C444,1.39
#D6221C,#A04E36,1.26
#EE3F4B,#431823,2.44
#E042D5,#701A6C,1.95
#A42D27,#C856F3,1.63
#BEBFFE,#440AA6,4.49
#2EA8F2,#BF58BE,1.23
#09F2D8,#3369EE,1.75
#50287A,#04B8B8,2.36
#4B82F3,#C206A8,1.98
#FC7D42,#55CBD4,1.19
#27D541,#9F74EA,1.22
#8D9F2C,#AA3043,1.81
#93358C,#7F838D,1.56
#AD2E85,#3E964A,1.51
#178268,#95919F,1.35
#119203,#8073EB,1.15
#BA8527,#D0F020,1.54
#A1BB09,#6964E4,1.47
#98D5D7,#DE9554,1.23
#D71397,#1145CE,1.03
#120264,#6C866F,5.53
#BF1F75,#0B3A9B,1.24
#E3A2A4,#CDAA7E,1.01
#0A91A5,#A9CE3D,1.54
#AE29F1,#1FA2AE,1.53
#23B6D8,#17540B,2.11
#327FA4,#093D30,2.04
#0B5D19,#E75011,1.44
#660418,#9AAE32,4.45
#BB2996,#193610,1.6
#552917,#0B089F,1.91
#F022AA,#83D576,2.01
#9EE3E3,#46308D,3.12
#DD5E9E,#D7CDA5,1.57
#4B9B83,#A5CD27,1.32
#3219AB,#E73A72,2.08
#8268A2,#BA095E,1.93
#62035C,#AB8C2D,3.6
#525EC3,#9DF6DE,2.14
#8C4BD3,#72A76B,1.47
#2EE506,#ACF7A8,1.28
#A3AF60,#A089C5,1.13
#FEDEED,#4C5F11,2.47
#BB4B44,#46382B,1.57
#AB3497,#4AAA77,1.63
#C1B08B,#80EFDB,1.2
#8F5E86,#20F02B,1.62
#5F8620,#87E150,1.59
#C9DAB4,#A78152,1.53
#D13015,#CC7F28,1.61
#EBC24A,#864849,2.11
#6F78CF,#4EF120,1.49
#FFEDDF,#196974,2.49
#602690,#E90860,1.06
#47F0A9,#2CE223,1.14
#D9BC09,#E5A978,1.02
#F4260B,#978266,1.57
#9076C5,#5DDE45,1.38
#211A6C,#8E7EB0,3.16
#C10C90,#1904EF,1.91
#13BEEF,#F7A415,1.08
#3C0BC2,#9FB404,3.71
#D2F45A,#A31A3F,3.38
#7E8D27,#117AB8,1.22
#96A193,#A601D0,2.67
#1742C6,#B06DA9,1.77
#6268E3,#EBCC58,1.73
#B66CB3,#CC5EDB,1.02
#AEEC52,#740B73,4.19
#F3EC69,#01FF29,1.21
#1E326B,#1660A9,1.57
#56030E,#6140CD,2.75
#D2DF04,#6F0670,4.46
#BDA0BE,#CE371E,1.85
#DFE592,#6F52B5,2.17
#3F41C4,#70D14F,2.21
#77729C,#407507,1.18
#5A05B2,#37A2B1,3.17
#11112C,#447948,3.75
#994145,#0A00B4,3.47
#5D4303,#B6AE4F,2.25
#8EAF29,#9D2323,2.32
#5F1157,#5C5CE7,2.23
#A51214,#0C4E69,1.27
#58E414,#145630,2.39
#BF4B5C,#20402B,1.66
#4EB82C,#B9C7B8,1.27
#F066F0,#5669E9,1.25
#B26F41,#FD79CA,1.24
#908291,#433796,1.9
#1CA073,#8BBA00,1.24
#09FCA5,#1D4910,2.86
#54DC0C,#55AA9F,1.15
#8BE6AE,#058CFA,1.66
#51C519,#258F4E,1.34
#F21098,#1A3DDC,1.11
#341767,#A2AAD3,3.86
#4731E3,#9FFEFC,3.11
#A3EAD1,#CC1FC7,2.48
#65A4D1,#DA4428,1.51
#7EAD13,#0BD2E0,1.1
#9547AE,#E3359F,1.02
#C7F569,#FA23E5,2.21
#976CD2,#C6A9D0,1.39
#A068FE,#0B35D1,2.05
#4BCA81,#1B17B7,3.79
#4D51BF,#5C92C3,1.5
#EECA37,#A04A65,1.98
#0F9294,#D97085,1.13
#4D130F,#20614E,2.16
#9E31BE,#F372AF,1.67
#A18B9D,#AA8317,1.09
#845AB9,#0909D5,3.25
#4ED9D2,#4FBA45,1.19
#5B38E8,#F381AB,1.9
#878C34,#F54510,1.26
#DF964A,#15F395,1.17
#FEFE6F,#8F5E03,2.32
#D1F740,#D4823E,1.54
#BE1825,#21B850,2.15
#424929,#72CB2D,2.26
#C2061D,#AAA0FA,3.0
#08021B,#E270AF,8.61
#78A1E5,#3266A1,1.57
#CEEC62,#D9D46D,1.06
#82E00C,#B46038,1.63
#3E2A10,#345FA4,1.81
#EA60FE,#536687,1.32
#35840A,#4CA1C7,1.33
#23BB4A,#9C8184,1.08
#F951D3,#3DBDDC,1.27
#4E33BC,#997CC2,1.86
#5CB031,#052B38,3.33
#331B97,#3082E4,2.46
#1E1BF7,#7FFE00,3.93
#FB5585,#CC7D22,1.08
#EF110D,#25174C,1.8
#1BC5B9,#B5311D,1.95
#C8FA33,#450902,6.99
#37F1E0,#D31E7A,2.42
#E3C2F3,#D051C1,1.69
#A325E4,#C2EC68,2.55
#1AC2A1,#5D2A02,2.69
#E39987,#D49BBE,1.01
#47F77E,#C97CFE,1.31
#814B7C,#EB3BF5,1.19
#C20BAE,#45E73E,2.65
#10DB9F,#8FC1A6,1.05
#ADAA50,#43105D,3.92
#6937AF,#038710,1.28
#63727C,#5FEB07,1.62
#398597,#49C37D,1.35
#6AFCF1,#131F85,4.8
#8EABC9,#5C98B3,1.17
#5ABC6C,#D679C1,1.1
#9284D8,#4E0C4E,3.53
#315B80,#0EDEB2,1.92
#83192F,#E2FA2D,3.92
#145B09,#90CCAF,2.44
#FF65E5,#D99EB9,1.19
#C97A5C,#1ED1E5,1.24
#F058CD,#F4240C,1.55
#F282C6,#9313A9,2.46
#93EEF3,#07421A,3.66
#0AC4D6,#71C846,1.08
#B3AF92,#94E48E,1.17
#9A9BC4,#CF1534,2.26
#02FBEA,#DC2794,2.14
#AB646C,#334ED2,1.36
#3E8DEC,#61C568,1.26
#6FDDD0,#B1FA5C,1.13
#A5757D,#6F29C5,1.76
#85F55E,#F05034,1.79
#CAF0A6,#7B3095,2.85
#6BE271,#8C12B0,3.01
#B55457,#5B8E68,1.2
#88B659,#3F94CF,1.21
#559BD5,#AB7837,1.13
#78FD82,#F80C5C,2.83
#634795,#431DE2,1.49
#55B7C9,#46C3A2,1.01
#0FEE11,#120AB0,5.14
#9098B3,#5EC460,1.09
#D1778B,#414C5F,1.74
#E36C0F,#BFDF6B,1.58
#5C64BE,#B47FE7,1.35
#B93F43,#5627D0,1.38
#77BB3F,#94E420,1.19
#450C44,#B4D742,5.12
#E02383,#2A6546,1.04
#7BDD02,#02E19D,1.06
#7088D0,#599A4C,1.01
#0CF8B7,#495525,2.24
#E779A4,#CB6307,1.26
#145496,#41B575,1.87
#EE1B22,#B807D9,1.17
#85FE54,#05CE82,1.34
#3FE05E,#F1594B,1.45
#7915CF,#5F2E6E,1.08
#982499,#9E03D6,1.28
#1A8EFE,#D5B0E9,1.45
#7CE4E8,#DA6A6D,1.53
#3E8DC9,#2DDC4B,1.31
#C987AA,#7CDC97,1.26
#631E0F,#F6327F,1.95
#E580C4,#3285BD,1.26
#19F538,#2FEE9C,1.03
#374171,#B375A7,1.85
#D891B3,#C8CD69,1.19
#7E1992,#A61674,1.06
#AF3E32,#D77620,1.48
#C7A480,#C11120,2.66
#20789E,#2321D4,1.98
#4FB99B,#C2496C,1.52
#93DBE1,#44B549,1.34
#613218,#A55D63,1.71
#6FC884,#F4D718,1.17
#35487F,#A7BFA9,2.33
#13F666,#D081F2,1.2
#ADC96A,#005604,2.7
#090FD1,#B27DA1,3.75
#BCB00F,#F45F93,1.25
#63EC94,#9CEB00,1.0
#65E987,#4E85FE,1.47
#C8CB0B,#CD5F12,1.6
#64F3BE,#517072,1.87
#1DD1D3,#12DDBE,1.03
#F0962D,#09A645,1.26
#1BBA4E,#4BE90C,1.25
#995F25,#8B9AD1,1.45
#E4CE2A,#83B2AD,1.17
#75A9E2,#FC3701,1.65
#6581AD,#913387,1.55
#F8A09B,#375B03,2.13
#2952D2,#6C823B,1.4
#30ED82,#4F0FE9,3.54
#1C4A95,#6AA291,1.96
#78EA10,#47A8B7,1.28
#82CECC,#0C9064,1.61
#663DD6,#5DFF9E,2.42
#B66B2D,#0E4556,1.84
#CB2762,#6D1B82,1.41
#AD02C9,#28E6D4,3.07
#0CD8FA,#6C9B39,1.25
#529DE1,#475948,1.64
#53C90C,#4CE42D,1.12
#F4B7B5,#F60C62,2.58
#2532B8,#087014,1.38
#52E940,#2FEB86,1.0
#7DB43D,#C0CE65,1.21
#D3BFD8,#F4F006,1.13
#1DEF33,#0FB9FC,1.16
#991497,#F5767A,2.24
#71963B,#B1E3A2,1.51
#9A4029,#5E38B7,1.1
#AF183E,#6BF8FF,3.23
#3732A0,#851777,1.09
#DDF4A6,#B6A640,1.41
#3E0A17,#A28FC6,4.71
#B2F41F,#B439F4,2.08
#D6E4A4,#7DE28F,1.1
#7695D0,#736B32,1.36
#B8AA27,#8BE3A3,1.23
#1621FF,#8B55B7,1.96
#D95AD0,#8A81A1,1.06
#7647C9,#7ACDD8,1.95
#DC3F8C,#D465BE,1.25
#DCC1FA,#2DE009,1.18
#11E0F1,#95F879,1.19
#96EB11,#2FFE2B,1.03
#FB4637,#8BF980,1.91
#AEE18E,#036DBC,2.11
#4E9265,#9C8C07,1.04
#33832E,#BF06F2,1.61
#3F7A8C,#0C0059,5.68
#A8578E,#2715B3,2.47
#D1557C,#7D9B73,1.25
#74BFA1,#501DCF,2.84
#0D12EC,#1D2E03,1.15
#60CB21,#1BE54F,1.04
#77B68B,#458D19,1.37
#E1B5B8,#803A76,2.26
#59A9FD,#14D149,1.01
#A4CDF5,#9A7ABE,1.45
#42FA0A,#AA1CB0,2.53
#37BEEB,#339B7B,1.24
#694B34,#519BAE,1.66
#979268,#822FCF,1.76
#F1B986,#9566B1,1.58
#1580B7,#F4781B,1.25
#69DE43,#DCF2F1,1.26
#E4F260,#F57B35,1.54
#475E83,#D42815,1.19
#55C4E6,#A2ED8C,1.21
#2FE442,#4D3F6A,2.33
#F2D174,#0392DB,1.66
#B81A6A,#A0B8E4,2.49
#BD0E80,#A40941,1.23
#DDF01D,#4A4094,2.75
#343273,#6D4127,1.26
#E5528A,#924077,1.32
#E63D24,#3FFD8C,2.01
#0DCDA0,#8690C2,1.1
#5CA4C7,#7495DF,1.02
#C28FEE,#B85FDC,1.28
#7AE562,#E62B4B,2.14
#276474,#BAFBF8,2.47
#C7E189,#B89A5C,1.34
#D274F7,#0032FD,2.37
#38ED05,#7AEBD2,1.14
#61FF60,#4AE077,1.13
#BCC390,#247262,1.86
#47F034,#511471,3.88
#BCA6D6,#0229C5,3.29
#8BB6B4,#B01F9D,2.22
#E65BD0,#C3BDD6,1.45
#67E442,#62BC00,1.2
#9845FE,#AFB7CA,1.73
#566C26,#9B1A82,1.51
#56B6D6,#A0DF83,1.22
#58DF6F,#285E2A,2.17
#6490EA,#EE728D,1.01
#40A124,#0A9382,1.11
#BB1708,#A07B66,2.04
#4F5EEE,#4B39CD,1.35
#6AB1CA,#249C05,1.33
#E2F3BC,#A84593,2.29
#A02306,#96E029,2.88
#33FA60,#81723E,1.66
#DB8EC3,#1A1B04,4.62
#619A94,#F9B142,1.28
#05E48A,#202ACE,2.9
#2AC6FD,#FBA3B4,1.08
#A1063F,#C91F94,1.58
#7AE94B,#5BCB3A,1.16
#4A4DC4,#77446B,1.03
#B8E056,#EA37C4,1.88
#841D23,#50D737,2.93
#2AC001,#26CDD3,1.15
#F742B2,#5EB35C,1.34
#6D9A89,#3C0DE0,3.06
#256FC0,#A7958C,1.45
#81F207,#542435,3.55
#A153C4,#DB61AF,1.17
#281BCA,#BAAB31,3.23
#7E978F,#442792,2.4
#50FA6F,#9482BC,1.44
#1BAB7E,#36EE73,1.35
#33CCA2,#04FCA3,1.13
#31AF98,#5480C3,1.17
#B8AAA2,#5D323D,2.55
#4C82D5,#AD2C1A,1.66
#17E615,#07E8F5,1.08
#F7AAB3,#DFD812,1.08
#B679BB,#FB0B48,1.91
#E812F1,#78CFD7,2.19
#C5AB1A,#C6677A,1.3
#EC6E55,#626185,1.31
#163939,#FB575C,2.17
#FB5052,#004A36,1.86
#D5EAF5,#078192,2.08
#6CE166,#6A0097,4.42
#33848F,#C8DB34,1.68
#2BDD59,#4DA4D8,1.15
#DD9B78,#811777,2.75
#0BEB8D,#116EC4,1.77
#433E0B,#1C987E,1.89
#0811A1,#9773E4,3.75
#63EEF3,#1BB9FE,1.31
#B11A31,#E1B1F7,2.83
#52D40A,#1CA8A5,1.21
#848725,#4264F7,1.21
#C25B82,#66600F,1.23
#005581,#CD4844,1.36
#9BDDEC,#05C4D0,1.31
#D82655,#EE5388,1.44
#3C0E38,#5D1906,1.28
#BBCC97,#A59DC8,1.2
#BF67F0,#BEEB35,1.56
#8740C1,#5EADD0,1.7
#FC1023,#BC4293,1.38
#C74F20,#4FBD40,1.49
#C0C147,#5A77A5,1.53
#B27549,#CB900F,1.15
#E576A7,#5A8103,1.27
#5B1B6E,#C5A425,2.94
#64DAF5,#A3D4A4,1.02
#862289,#3CBFEF,2.38
#E08AE7,#046C53,1.81
#0CCC19,#D8089B,2.16
#24C7F9,#76C36B,1.02
#CED392,#5F9E73,1.41
#7EB971,#22E340,1.04
#E85188,#E7EE4B,1.83
#B3D9B5,#06B385,1.44
#09BBCE,#30F4D7,1.3
#449521,#13E414,1.33
#A581CA,#4D1DE5,2.33
#C7285B,#13D7FB,2.09
#4FA673,#2AA6B5,1.02
#49E1F8,#6E41D1,2.12
#0F8A19,#AA952B,1.36
#BC423E,#14EA43,1.81
#CE30F1,#44F46A,1.93
#C20C5E,#434276,1.19
#9AB4A7,#9BD3AB,1.12
#314C67,#5D8508,1.51
#885DC7,#7970BF,1.08
#B4A11D,#1F68FC,1.5
#5D1D92,#8C4BFA,1.79
#FD78FF,#ABFADA,1.43
#EF7E8C,#7F87F5,1.06
#64D4BA,#DE8A94,1.18
#B77294,#6FFC36,1.53
#8706DC,#923E2D,1.48
#04D050,#6A1D93,2.52
#883A87,#DD4914,1.22
#F2EF90,#D2C7A2,1.16
#FDDD19,#BF9BF9,1.24
#0BAC8C,#BD6098,1.12
#EDADB2,#A4E19D,1.1
#954218,#F78030,1.72
#B0E56C,#622935,3.32
#96D416,#AA3830,2.14
#123365,#2D6E26,1.72
#69D46B,#7EB169,1.12
#4FBE05,#4EB89A,1.04
#22BA62,#894B25,1.63
#94F7BB,#6EE890,1.1
#4A5D18,#1CD1B1,1.87
#1626BC,#D2514A,2.07
#5F9C68,#8AC13A,1.21
#567C4B,#CC4047,1.17
#2BEDAD,#327BCC,1.62
#F653DF,#49FEEE,1.62
#982287,#6540C3,1.19
#483371,#3DCA6A,2.45
#04C52C,#26A0FF,1.03
#43D44C,#F196D3,1.01
#72E9E4,#C6F9CE,1.13
#C2F903,#58DDC4,1.14
#7728C3,#E61133,1.04
#32353B,#B2678F,2.05
#E56990,#E9C55C,1.43
#EA2082,#CEE1E3,2.47
#329B30,#ADDA7C,1.56
#8727B7,#D24EFA,1.59
#9775FB,#DDA23C,1.23
#091456,#27143A,1.12
#8829EC,#2B0B93,2.18
#0A7CE5,#1ABC38,1.31
#006143,#C155BE,1.48
#12C2BD,#8EB246,1.04
#3B18BC,#0BAE85,2.66
#E425E9,#F31FF0,1.01
#C0868B,#DA155C,1.97
#B5BF8B,#E18582,1.2
#6E6C0B,#7ED92E,1.73
#7B724B,#0F2076,2.66
#2FAE33,#F0105E,1.84
#DF9F53,#6E3CB9,1.95
#2DCA14,#2F4FE8,1.75
#C2CD89,#1B621A,2.33
#4AA723,#57F74C,1.42
#1D3D94,#56BAB9,2.42
#E6F237,#BC8580,1.52
#7FDD7A,#972108,2.99
#5D2658,#82BB7C,2.77
#2AAE12,#899CC3,1.14
#45B565,#7B4A75,1.64
#1C2DA6,#E03BAD,1.83
#4A212D,#A61E06,1.26
#6164E4,#14165A,3.09
#70F715,#C40BE6,2.72
#EF2CB1,#1E4436,1.5
#3FCC84,#44E658,1.09
#357C17,#14A163,1.22
#817626,#0E81F0,1.02
#D7BBE9,#9BAC18,1.23
#537961,#9361DB,1.04
#537B61,#471977,2.31
#1E365E,#7D918C,2.37
#042724,#F3ED09,5.32
#657478,#CA3736,1.27
#A77B68,#B99D57,1.19
